Bairro,Homicidios,Populacao
AEROLANDIA,17,11360
AEROPORTO,2,8618
JOSE DE ALENCAR,20,16003
ALDEOTA,8,42361
ALTO DA BALANCA,10,12814
ALVARO WEYNE,21,23690
AMADEU FURTADO,0,11703
ANCURI,18,20070
ANTONIO BEZERRA,16,25846
AUTRAN NUNES,18,21208
DE LOURDES,0,3370
BARRA DO CEARA,70,72423
BARROSO,45,29847
BELA VISTA,17,16754
BENFICA,2,12954
BOM FUTURO,0,6405
BOM JARDIM,53,37758
BONSUCESSO,25,41198
CAIS DO PORTO,19,22382
CAJAZEIRAS,11,14478
CAMBEBA,4,7625
CANINDEZINHO,29,41202
CARLITO PAMPLONA,17,29076
CASTELAO,7,-1
CENTRO,30,28538
CIDADE 2000,5,8272
CIDADE DOS FUNCIONARIOS,9,18256
COACU,0,7188
COCO,1,20492
CONJUNTO CEARA I,7,19221
CONJUNTO CEARA II,6,23673
CONJUNTO ESPERANCA,15,16405
CONJUNTO PALMEIRAS,46,36599
COUTO FERNANDES,4,5260
CRISTO REDENTOR,17,26717
CURIO,11,7636
DAMAS,2,10719
DEMOCRITO ROCHA,5,10994
DENDE,5,5637
DIAS MACEDO,10,12111
DIONISIO TORRES,3,15634
DOM LUSTOSA,4,13147
MANUEL DIAS BRANCO,3,1447
EDSON QUEIROZ,24,22210
VILA ELLERY,6,7863
ENG LUCIANO CAVALCANTE,1,15543
FARIAS BRITO,1,12063
FATIMA,7,23309
FLORESTA,10,28896
GENIBAU,37,40336
GENTILANDIA,0,-1
GRANJA LISBOA,32,52042
GRANJA PORTUGAL,26,39651
GUAJERU,0,6668
PATRIOLINO RIBEIRO,2,5266
HENRIQUE JORGE,6,26994
ITAOCA,10,12477
ITAPERI,8,22563
JACARECANGA,11,14204
JANGURUSSU,57,50479
JARDIM AMERICA,8,12264
JARDIM CEARENSE,1,10103
JARDIM DAS OLIVEIRAS,31,29571
JARDIM GUANABARA,6,14919
JARDIM IRACEMA,29,23184
JOAO XXIII,10,18398
JOAQUIM TAVORA,4,23450
JOQUEI CLUBE,7,19331
JOSE BONIFACIO,3,8848
LAGOA REDONDA,13,27949
MARAPONGA,12,10155
BOA VISTA,1,12247
MEIRELES,2,36982
MESSEJANA,46,41689
MONDUBIM,47,76044
MONTE CASTELO,12,13215
MONTESE,4,25970
MOURA BRASIL,6,3765
MUCURIPE,10,13747
PADRE ANDRADE,6,12936
PANAMERICANO,7,8815
PAPICU,11,18370
PARANGABA,11,30947
PARQUE ARAXA,0,6715
PARQUE DOIS IRMAOS,14,27236
PARQUE IRACEMA,2,8409
PARQUE MANIBURA,0,7529
PARQUE PRESIDENTE VARGAS,9,7192
PARQUE SANTA ROSA,8,12790
PARQUE SAO JOSE,17,10486
PARQUELANDIA,6,14432
PARREAO,0,11072
PASSARE,35,50940
PAUPINA,12,14665
PEDRAS,1,1342
PICI,23,42494
PIRAMBU,38,17775
PLANALTO AYRTON SENNA,30,39446
PRAIA DE IRACEMA,11,3130
PRAIA DO FUTURO I,12,6630
PRAIA DO FUTURO II,12,11957
PREFEITO JOSE VALTER,25,33427
PRESIDENTE KENNEDY,2,23004
QUINTINO CUNHA,36,47277
RODOLFO TEOFILO,4,19114
SABIAGUABA,9,2117
SALINAS,0,4298
SAO BENTO,0,11964
SAO GERARDO,3,14505
SAO JOAO DO TAUAPE,24,27598
SAPIRANGA COITE,13,32158
SERRINHA,21,28770
SIQUEIRA,30,33628
VARJOTA,2,8421
VICENTE PINZON,34,45518
MANOEL SATIRO,9,37952
VILA PERY,6,20645
VILA UNIAO,10,15378
VILA VELHA,31,61617
,6,-1
